Date,Open,High,Low,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,Close,CloseY
2021-01-21,640,679,640,628.4039307,89019137,570.25,93.1579,570.25,47.9713,666.1926,474.3074,606.3189626,570.7898109,35.52915175,26.79861191,8.730539831,673,649
2021-01-22,649,665,649,605.9940186,125179403,577.2,82.6291,577.2,48.8441,674.8882,479.5118,612.8852761,576.5831582,36.30211784,28.6993131,7.602804743,649,633
2021-01-25,642,646,626,591.0543213,93050133,583.3,76.7544,583.3,47.7473,678.7946,487.8054,615.979849,580.7621836,35.21766544,30.00298357,5.21468187,633,617
2021-01-26,632,640,610,576.114624,100153482,588.4,71.25,588.4,45.4607,679.3214,497.4786,616.1367953,583.4464663,32.69032905,30.54045266,2.149876384,617,615
2021-01-27,618,625,611,574.2471313,59985191,593.4,70.6612,593.4,42.3561,678.1122,508.6878,615.9619037,585.7837651,30.17813867,30.46798986,-0.289851198,615,601
2021-01-28,600,608,598,561.1748657,96447533,597.2,65.4472,597.2,39.1873,675.5746,518.8254,613.6600724,586.9108936,26.74917881,29.72422765,-2.975048843,601,591
2021-01-29,619,619,591,551.8375854,90745237,600.25,62.1514,600.25,35.9193,672.0886,528.4114,610.1739074,587.2137903,22.96011706,28.37140553,-5.411288478,591,611
2021-02-01,595,612,587,570.5122681,67462398,604,64.1509,604,32.6222,669.2444,538.7556,610.3009986,588.9757318,21.32526677,26.96217778,-5.636911011,611,632
2021-02-02,629,638,622,590.1206665,78429188,608.5,66.0714,608.5,29.6958,667.8916,549.1084,613.6393065,592.1627146,21.47659185,25.8650606,-4.388468743,632,630
2021-02-03,638,642,630,588.2532349,48738970,612.55,64.7273,612.55,26.5062,665.5624,559.5376,616.1563363,594.9654765,21.19085975,24.93022043,-3.73936068,630,627
2021-02-04,626,632,620,585.4520264,46371900,615.65,61.8321,615.65,24.1754,664.0008,567.2992,617.8245922,597.3384042,20.48618804,24.04141395,-3.555225908,627,632
